date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:32	111/111	---M-Z	200	added ('OK')	text/plain	date:Fri,%2013%20Dec%202024%2015:28:45%20GMT	https://spofit.co/robots.txt		(from )
20:28:33	278888/278888	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Dec%202024%2015:28:44%20GMT	https://spofit.co/	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/index.html	(from )
20:28:35	2124/2124	---M-Z	200	added ('OK')	application/rss+xml	etag:%222a17605e7512c6221a9fbd336712a0ca%22	https://spofit.co/feed/	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/feed/index.html	(from https://spofit.co/)
20:28:35	932/932	---M-Z	200	added ('OK')	application/rss+xml	etag:%222a17605e7512c6221a9fbd336712a0ca%22	https://spofit.co/comments/feed/	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/comments/feed/index.html	(from https://spofit.co/)
20:28:35	118945/118945	---M-Z	200	added ('OK')	text/css	etag:%221d0a1-66472c6f-f6c87bcd52814b2f;gz%22	https://spofit.co/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.21.5	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/elementor/assets/css/frontend-lite.min63aa.css	(from https://spofit.co/)
20:28:36	15363/15363	---M-Z	200	added ('OK')	text/css	etag:%223c03-66472ca3-fb7225e630462817;gz%22	https://spofit.co/wp-content/uploads/elementor/css/post-1836.css?ver=1715940515	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/uploads/elementor/css/post-18366ac0.css	(from https://spofit.co/)
20:28:37	1548/1548	---M-Z	200	added ('OK')	text/css	etag:%2260c-66472c6a-fa3b425088788ad9;gz%22	https://spofit.co/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/main.css?ver=4.2	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/click-to-chat-for-whatsapp/new/inc/assets/css/mainbc19.css	(from https://spofit.co/)
20:28:38	34293/34293	---M-Z	200	added ('OK')	text/css	etag:%2285f5-6663160c-b17dd207b60fd561;gz%22	https://spofit.co/wp-content/plugins/reviews-feed/assets/css/sbr-styles.css?ver=1.1.2	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/reviews-feed/assets/css/sbr-stylescfa9.css	(from https://spofit.co/)
20:28:39	94848/94848	---M-Z	200	added ('OK')	text/css	etag:%2217280-66644b0d-9c4b4145a5d275c5;gz%22	https://spofit.co/wp-content/plugins/instagram-feed-pro/css/sbi-styles.min.css?ver=6.4	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/instagram-feed-pro/css/sbi-styles.mina149.css	(from https://spofit.co/)
20:28:40	44844/44844	---M-Z	200	added ('OK')	text/css	etag:%22af2c-66631609-6a81ad6b25499e21;gz%22	https://spofit.co/wp-content/plugins/feeds-for-youtube/css/sb-youtube.min.css?ver=2.2.1	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/feeds-for-youtube/css/sb-youtube.min77e6.css	(from https://spofit.co/)
20:28:41	16245/16245	---M-Z	200	added ('OK')	text/css	etag:%223f75-66631607-3c963227a36af55a;gz%22	https://spofit.co/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min.css?ver=2.2.2	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/custom-twitter-feeds/css/ctf-styles.min605a.css	(from https://spofit.co/)
20:28:42	2716/2716	---M-Z	200	added ('OK')	text/css	etag:%22a9c-66472c89-b43ab308db1e947;gz%22	https://spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvas.css?ver=1.4.4	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/offcanvasc2d0.css	(from https://spofit.co/)
20:28:44	304/304	---M-Z	200	added ('OK')	text/css	etag:%22130-66472c89-82a5ce67425e3050;gz%22	https://spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenu.css?ver=1.4.4	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/navmenuc2d0.css	(from https://spofit.co/)
20:28:45	59/59	---M--	200	added ('OK')	text/css	etag:%223b-66472c89-16387b6221af9ac5;;;%22	https://spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfo.css?ver=1.4.4	C:/Users/Ali%20Raza/Downloads/ATS/spofit/spofit.co/wp-content/plugins/rometheme-for-elementor/widgets/assets/css/headerinfoc2d0.css	(from https://spofit.co/)
